video_id,viewse,comment_count,likes,dislikes
kROW5iooUKE                                                                                                                                                                                                                                                    ,89033,142,3386,32
NWdc7PyZNLA                                                                                                                                                                                                                                                    ,12924004,11083,190116,16758
jSJr3dXZfcg                                                                                                                                                                                                                                                    ,7309863,25986,135719,3422
nR3OdeqiEF8                                                                                                                                                                                                                                                    ,109148,539,3222,62
CFMRJSPDr2k                                                                                                                                                                                                                                                    ,361145,2913,14797,1348
wGxT2tg4It0                                                                                                                                                                                                                                                    ,1703026,9422,51996,8415
kNOTqGpcDw0                                                                                                                                                                                                                                                    ,154841,381,2271,52
s2zlBSsumeI                                                                                                                                                                                                                                                    ,727869,2494,26382,613
NLCfRHdi6Ig                                                                                                                                                                                                                                                    ,15466,139,677,8
V54CEElTF_U                                                                                                                                                                                                                                                    ,19971162,50164,694768,20257
jDvKFN6aYsE                                                                                                                                                                                                                                                    ,464445,966,19191,1659
o3CaFMmKA7A                                                                                                                                                                                                                                                    ,385348,4226,35589,508
M_wZMgZNpaM                                                                                                                                                                                                                                                    ,391872,870,18426,214
MjdpR-TY6QU                                                                                                                                                                                                                                                    ,2088254,8809,119584,1021
T8jBIVi6rrM                                                                                                                                                                                                                                                    ,3676763,6312,109082,8251
xxWXD073Ql0                                                                                                                                                                                                                                                    ,313094,241,11311,428
qc_z4a00cCQ                                                                                                                                                                                                                                                    ,2371911,2642,36173,1587
WqMOHepSpkU                                                                                                                                                                                                                                                    ,404124,1044,2412,283
TbfxmTQkLAE                                                                                                                                                                                                                                                    ,13982464,11579,208521,8489
BsjQqm60ZEI                                                                                                                                                                                                                                                    ,4210732,4299,129667,856
kqbJCW-jxYM                                                                                                                                                                                                                                                    ,407075,2815,5819,598
UNtOI5RzCek                                                                                                                                                                                                                                                    ,167160,646,4008,54
90IJanuV_0M                                                                                                                                                                                                                                                    ,935966,886,18099,262
S0A4hBJHND4                                                                                                                                                                                                                                                    ,83794,74,83,108
